Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
LIFEWAYS HOSPITAL,BOISE,ID,(208) 327-0504,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
STATE HOSPITAL SOUTH,BLACKFOOT,ID,(208) 785-1200,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GRAHAM HOSPITAL ASSOCIATION,CANTON,IL,(309) 647-5240,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ALTON MEMORIAL HOSPITAL,ALTON,IL,(618) 463-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average
PRESENCE SAINT JOSEPH MEDICAL CENTER,JOLIET,IL,(815) 725-7133,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average
GOTTLIEB MEMORIAL HOSPITAL,MELROSE PARK,IL,(708) 681-3200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,EVANSTON,IL,(847) 432-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
SOUTHERN ILLINOIS HOSPITAL SERVICES DBA HERRIN HOSPITAL,HERRIN,IL,(618) 942-2171,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
KATHERINE SHAW BETHEA HOSPITAL,DIXON,IL,(815) 288-5531,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
PROCTOR HOSPITAL,PEORIA,IL,(309) 691-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
BLESSING HOSPITAL,QUINCY,IL,(217) 223-1200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,(773) 542-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
HSHS GOOD SHEPHERD HOSPITAL INC,SHELBYVILLE,IL,(217) 774-3961,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average
COPLEY MEMORIAL HOSPITAL,AURORA,IL,(630) 978-6200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
ADVOCATE SHERMAN HOSPITAL,ELGIN,IL,(847) 742-9800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
ST ANTHONYS MEMORIAL HOSPITAL,EFFINGHAM,IL,(217) 342-2121,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
LAKE BEHAVIORAL HOSPITAL,WAUKEGAN,IL,(847) 249-3900,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,CENTRALIA,IL,(618) 436-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
GALESBURG COTTAGE HOSPITAL,GALESBURG,IL,(309) 343-8131,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
CGH MEDICAL CENTER,STERLING,IL,(815) 625-0400,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
SSM HEALTH - GOOD SAMARITAN HOSPITAL,MOUNT VERNON,IL,(618) 899-1469,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
ADVOCATE TRINITY HOSPITAL,CHICAGO,IL,(773) 967-5002,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
WEST SUBURBAN MEDICAL CENTER,OAK PARK,IL,(708) 383-6200,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
OSF SAINT ANTHONY'S HEALTH CENTER,ALTON,IL,(618) 465-2571,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
ST JOHNS HOSPITAL,SPRINGFIELD,IL,(217) 544-6464,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
MACNEAL  HOSPITAL,BERWYN,IL,(708) 783-9100,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
PASSAVANT AREA HOSPITAL,JACKSONVILLE,IL,(217) 245-9551,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
JERSEY COMMUNITY HOSPITAL,JERSEYVILLE,IL,(618) 498-6402,Acute Care Hospitals,Government - Local,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,(708) 923-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
RUSH OAK PARK HOSPITAL,OAK PARK,IL,(708) 383-9300,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ST MARY MEDICAL CENTER,GALESBURG,IL,(309) 344-3161,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,LA GRANGE,IL,(708) 352-1200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
SAINT FRANCIS MEDICAL CENTER,PEORIA,IL,(309) 655-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
ROSELAND COMMUNITY HOSPITAL,CHICAGO,IL,(773) 995-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Below the national average
TOUCHETTE REGIONAL HOSPITAL INC,CENTREVILLE,IL,(618) 332-3060,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
PRESENCE SAINT FRANCIS HOSPITAL,EVANSTON,IL,(847) 316-4000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
LOUIS A WEISS MEMORIAL HOSPITAL,CHICAGO,IL,(773) 878-8700,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
LORETTO HOSPITAL,CHICAGO,IL,(773) 626-4300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average
VISTA MEDICAL CENTER EAST,WAUKEGAN,IL,(847) 360-3000,Acute Care Hospitals,Voluntary non-profit - Other,No,2,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,CHICAGO,IL,(773) 702-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
MC DONOUGH DISTRICT HOSPITAL,MACOMB,IL,(309) 833-4101,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
THE CARLE FOUNDATION HOSPITAL,URBANA,IL,(217) 383-3311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average
OSF SACRED HEART MEDICAL CENTER,DANVILLE,IL,(217) 443-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average
SAINT ANTHONY HOSPITAL,CHICAGO,IL,(773) 521-1710,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
MIDWESTERN REGION MED CENTER,ZION,IL,(847) 872-4561,Acute Care Hospitals,Proprietary,Yes,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average
MORRIS HOSPITAL & HEALTHCARE CENTERS,MORRIS,IL,(815) 942-2932,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
ST BERNARD HOSPITAL,CHICAGO,IL,(773) 962-3900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR,OTTAWA,IL,(815) 433-3100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
OSF HEART OF MARY MEDICAL CENTER,URBANA,IL,(217) 337-2000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
SWEDISH COVENANT HOSPITAL,CHICAGO,IL,(773) 878-8200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
THOREK MEMORIAL HOSPITAL,CHICAGO,IL,(312) 525-6780,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,MCHENRY,IL,(815) 344-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
AMITA HEALTH RESURRECTION MEDICAL CENTER,CHICAGO,IL,(773) 774-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,(312) 942-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average
PEKIN MEMORIAL HOSPITAL,PEKIN,IL,(309) 347-1151,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
ADVENTIST HINSDALE HOSPITAL,HINSDALE,IL,(630) 856-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
JOHN H STROGER JR HOSPITAL,CHICAGO,IL,(312) 864-6000,Acute Care Hospitals,Government - Local,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,IL,(618) 798-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
